policy,scenario,task_id,seed_group,episode,rollout_seed,avg_reward,avg_cost_usd,blackout_rate,constraint_violation_rate,emissions_tco2,unmet_energy_mwh,reserve_shortfall_rate,stability_event_rate
random,normal,normal,0,1,1000,0.489581,13416.274167,0.708333,4.25,824.1362,506.201,0.625,0.25
heuristic,normal,normal,0,1,1000,0.508375,13530.966542,0.958333,1.791667,777.7254,581.121,0.458333,0.25
adaptive,normal,normal,0,1,1000,0.39065,21611.330833,0.5,4.291667,876.8049,487.397,0.958333,0.25
random,shock,stress_shock,0,1,1000,0.412788,16854.880133,0.9,4.7,1225.6502,1613.019,0.633333,0.333333
heuristic,shock,stress_shock,0,1,1000,0.390896,17577.6271,0.9,2.733333,1147.9199,1772.884,0.7,0.4
adaptive,shock,stress_shock,0,1,1000,0.155821,950.583367,1.0,5.033333,0.0,4117.731,1.0,1.0
random,outage,outage,0,1,1000,0.451234,16678.4286,0.8,4.533333,1215.8771,1042.423,0.566667,0.3
heuristic,outage,outage,0,1,1000,0.415031,17053.0538,0.933333,2.8,1125.7141,1188.691,0.7,0.366667
adaptive,outage,outage,0,1,1000,0.156331,800.625833,1.0,5.0,0.0,3499.362,1.0,1.0
random,renewable_collapse,renewable_collapse,0,1,1000,0.412877,17350.7883,0.9,4.9,1252.6913,1470.984,0.733333,0.266667
heuristic,renewable_collapse,renewable_collapse,0,1,1000,0.405977,17826.899633,0.9,2.833333,1185.0863,1607.196,0.7,0.333333
adaptive,renewable_collapse,renewable_collapse,0,1,1000,0.163728,1068.8974,1.0,5.033333,0.0,3974.277,1.0,1.0
